Date,Revenue_USD,EMA_7,EMA_14,EMA_30,Revenue_ZScore,Revenue_MinMax,day_of_week,sin_dow,cos_dow,month,sin_month,cos_month,week_of_year,sin_woy,cos_woy,is_weekend,is_month_end,is_month_start,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,revenue_diff1,revenue_diff7
2025-07-12,245.95999999999998,439.3541682191566,428.1112571165786,387.88600571267625,-0.5202838097470974,0.1094941526846011,5,-0.9749279121818236,-0.2225209339563146,7,-0.4999999999999997,-0.8660254037844388,28,-0.23931566428755743,-0.9709418174260521,1,0,0,545.85,516.78,826.01,268.91999999999996,536.54,194.76,312.89,353.43,726.5699999999999,141.94,99.82,1344.9099999999999,389.43,281.56,447.83142857142855,224.37183026014142,464.55785714285713,331.1747972382925,0.0,0.0
2025-07-13,203.15,380.3031261643674,398.1164228343681,375.9675537312133,-0.6418151901320205,0.09043640070693086,6,-0.7818314824680299,0.6234898018587334,7,-0.4999999999999997,-0.8660254037844388,28,-0.23931566428755743,-0.9709418174260521,1,0,0,245.95999999999998,545.85,516.78,826.01,268.91999999999996,536.54,194.76,312.89,353.43,726.5699999999999,141.94,99.82,1344.9099999999999,389.43,449.03000000000003,222.8116195354273,451.2521428571428,338.0952285782256,-42.809999999999974,0.0
2025-07-14,178.97,329.9698446232756,368.8968997897857,363.2580341356512,-0.7104587028091389,0.07967217639438551,0,0.0,1.0,7,-0.4999999999999997,-0.8660254037844388,29,-0.3546048870425356,-0.9350162426854148,0,0,0,203.15,245.95999999999998,545.85,516.78,826.01,268.91999999999996,536.54,194.76,312.89,353.43,726.5699999999999,141.94,99.82,1344.9099999999999,397.9485714285714,239.74963464890982,367.9707142857143,226.07368395364733,-24.180000000000007,0.0
2025-07-15,48.34,259.5623834674567,326.1559798178143,342.9407416107705,-1.0812983248526449,0.02151954521374865,1,0.7818314824680298,0.6234898018587336,7,-0.4999999999999997,-0.8660254037844388,29,-0.3546048870425356,-0.9350162426854148,0,0,0,178.97,203.15,245.95999999999998,545.85,516.78,826.01,268.91999999999996,536.54,194.76,312.89,353.43,726.5699999999999,141.94,99.82,366.4371428571429,271.87813260811583,364.2935714285714,231.13278336878608,-130.63,0.0
2025-07-16,244.28,255.74178760059252,315.2391825087724,336.57553247459174,-0.525053086062133,0.10874626613186843,2,0.9749279121818236,-0.22252093395631434,7,-0.4999999999999997,-0.8660254037844388,29,-0.3546048870425356,-0.9350162426854148,0,0,0,48.34,178.97,203.15,245.95999999999998,545.85,516.78,826.01,268.91999999999996,536.54,194.76,312.89,353.43,726.5699999999999,141.94,283.33285714285716,182.06098536061,371.6035714285714,225.09908370818331,195.94,0.0
2025-07-17,0.0,191.8063407004444,273.20729150760275,314.86098199236005,-1.2185285731078934,0.0,3,0.43388373911755823,-0.900968867902419,7,-0.4999999999999997,-0.8660254037844388,29,-0.3546048870425356,-0.9350162426854148,0,0,0,244.28,48.34,178.97,203.15,245.95999999999998,545.85,516.78,826.01,268.91999999999996,536.54,194.76,312.89,353.43,726.5699999999999,209.5071428571429,176.30726074236497,319.7057142857143,220.67821860082876,-244.28,0.0
2025-07-18,6.93,145.5872555253333,237.70365263992238,294.994467025111,-1.1988553083083717,0.003085032030022303,4,-0.433883739117558,-0.9009688679024191,7,-0.4999999999999997,-0.8660254037844388,29,-0.3546048870425356,-0.9350162426854148,0,0,0,0.0,244.28,48.34,178.97,203.15,245.95999999999998,545.85,516.78,826.01,268.91999999999996,536.54,194.76,312.89,353.43,132.51857142857142,110.24654301890443,294.9557142857143,235.53553302778187,6.93,0.0
2025-07-19,164.67,150.35794164399996,227.96583228793273,286.5864368944587,-0.7510543285859295,0.07330623728481567,5,-0.9749279121818236,-0.2225209339563146,7,-0.4999999999999997,-0.8660254037844388,29,-0.3546048870425356,-0.9350162426854148,1,0,0,6.93,0.0,244.28,48.34,178.97,203.15,245.95999999999998,545.85,516.78,826.01,268.91999999999996,536.54,194.76,312.89,120.9057142857143,100.12204966225737,284.36857142857144,237.98583305790228,157.73999999999998,-81.28999999999999
2025-07-20,282.68,183.43845623299995,235.2610546495417,286.33440870771943,-0.4160410560041781,0.1258408159086154,6,-0.7818314824680299,0.6234898018587334,7,-0.4999999999999997,-0.8660254037844388,29,-0.3546048870425356,-0.9350162426854148,1,0,0,164.67,6.93,0.0,244.28,48.34,178.97,203.15,245.95999999999998,545.85,516.78,826.01,268.91999999999996,536.54,194.76,132.26714285714286,114.4914636867874,290.6485714285714,236.595297952404,118.01000000000002,79.53
2025-07-21,75.54,156.46384217474997,213.96491402960282,272.73476943625366,-1.0040814702282603,0.03362818463894442,0,0.0,1.0,7,-0.4999999999999997,-0.8660254037844388,30,-0.46472317204376806,-0.8854560256532101,0,0,0,282.68,164.67,6.93,0.0,244.28,48.34,178.97,203.15,245.95999999999998,545.85,516.78,826.01,268.91999999999996,536.54,117.49142857142859,114.1332052805806,257.71999999999997,231.77150329249184,-207.14,-103.42999999999999
