Date,Revenue_USD,EMA_7,EMA_14,EMA_30,Revenue_ZScore,Revenue_MinMax,day_of_week,sin_dow,cos_dow,month,sin_month,cos_month,week_of_year,sin_woy,cos_woy,is_weekend,is_month_end,is_month_start,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,revenue_diff1,revenue_diff7
2025-07-27,827.0699999999999,497.4945942790434,537.286926819924,612.8408745455442,1.1327,0.328,6,-0.781831,0.62349,7,-0.5,-0.866025,30,-0.464723,-0.885456,1,0,0,0.0,85.5,640.08,1014.09,558.99,404.28,983.87,281.92,681.3299999999999,291.6,359.69,597.71,52.8,796.95,504.2871428571429,370.85699192160695,484.2092857142857,329.2262989650428,827.0699999999999,-156.80000000000007
2025-07-28,635.13,531.9034457092826,550.3326699106009,614.2788826393802,0.5901,0.2519,0,0.0,1.0,7,-0.5,-0.866025,31,-0.568065,-0.822984,0,0,0,827.0699999999999,0.0,85.5,640.08,1014.09,558.99,404.28,983.87,281.92,681.3299999999999,291.6,359.69,597.71,52.8,537.2657142857144,370.74581862587667,525.8042857142857,306.5327816504682,-191.93999999999994,230.85000000000002
2025-07-29,110.58,426.5725842819619,491.6989805891875,581.7821805336138,-0.8927,0.0439,1,0.781831,0.62349,7,-0.5,-0.866025,31,-0.568065,-0.822984,0,0,0,635.13,827.0699999999999,0.0,85.5,640.08,1014.09,558.99,404.28,983.87,281.92,681.3299999999999,291.6,359.69,597.71,473.20714285714286,403.64568256968005,491.00928571428574,324.84334547509286,-524.55,-448.41
2025-07-30,539.73,454.8619382114714,498.1031165106292,579.0691366282194,0.3204,0.2141,2,0.974928,-0.222521,7,-0.5,-0.866025,31,-0.568065,-0.822984,0,0,0,110.58,635.13,827.0699999999999,0.0,85.5,640.08,1014.09,558.99,404.28,983.87,281.92,681.3299999999999,291.6,359.69,405.4414285714286,330.98456748659106,503.8692857142857,322.8020621291555,429.15000000000003,-474.36
2025-07-31,1033.6200000000001,599.5514536586036,569.5053676425454,608.3949987812375,1.7166,0.41,3,0.433884,-0.900969,7,-0.5,-0.866025,31,-0.568065,-0.822984,0,1,0,539.73,110.58,635.13,827.0699999999999,0.0,85.5,640.08,1014.09,558.99,404.28,983.87,281.92,681.3299999999999,291.6,461.6614285714286,403.0576764115599,556.8707142857144,345.3943873639632,493.8900000000001,393.5400000000001
2025-08-01,42.629999999999995,460.32109024395265,499.2553186235394,571.894031117932,-1.0848,0.0169,4,-0.433884,-0.900969,8,-0.866025,-0.5,31,-0.568065,-0.822984,0,0,1,1033.6200000000001,539.73,110.58,635.13,827.0699999999999,0.0,85.5,640.08,1014.09,558.99,404.28,983.87,281.92,681.3299999999999,455.5371428571429,409.99193340496697,511.2492857142857,369.06114447471845,-990.9900000000001,-42.870000000000005
2025-08-02,163.84,386.20081768296444,454.5332761404008,545.5679645941945,-0.7422,0.065,5,-0.974928,-0.222521,8,-0.866025,-0.5,31,-0.568065,-0.822984,1,0,0,42.629999999999995,1033.6200000000001,539.73,110.58,635.13,827.0699999999999,0.0,85.5,640.08,1014.09,558.99,404.28,983.87,281.92,478.9428571428571,383.47069752087043,502.815,375.98946780973284,121.21000000000001,163.84
2025-08-03,71.6,307.5506132622233,403.4755059883474,514.9893862332787,-1.0029,0.0284,6,-0.781831,0.62349,8,-0.866025,-0.5,31,-0.568065,-0.822984,1,0,0,163.84,42.629999999999995,1033.6200000000001,539.73,110.58,635.13,827.0699999999999,0.0,85.5,640.08,1014.09,558.99,404.28,983.87,371.0185714285714,375.388862977605,437.65285714285716,365.0997791843204,-92.24000000000001,-755.4699999999999
2025-08-04,284.84000000000003,301.8729599466675,387.6574385232344,500.1410387343575,-0.4001,0.113,0,0.0,1.0,8,-0.866025,-0.5,32,-0.663123,-0.748511,0,0,0,71.6,163.84,42.629999999999995,1033.6200000000001,539.73,110.58,635.13,827.0699999999999,0.0,85.5,640.08,1014.09,558.99,404.28,320.9771428571429,357.221611454957,429.1214285714286,367.32830230561495,213.24000000000004,-350.28999999999996
2025-08-05,213.44,279.7647199600006,364.4284467201365,481.64419752568926,-0.6019,0.0847,1,0.781831,0.62349,8,-0.866025,-0.5,32,-0.663123,-0.748511,0,0,0,284.84000000000003,71.6,163.84,42.629999999999995,1033.6200000000001,539.73,110.58,635.13,827.0699999999999,0.0,85.5,640.08,1014.09,558.99,335.67142857142863,349.14884678928235,404.43928571428575,369.5334667984294,-71.40000000000003,102.86
